id,enerc_kcal,water,protain,protainb_by_amino,lipid,fantnlea,fasat,fams,fapu,carbohydrate,choavlm,fibsol,fibins,fibtg,ash,ne,k,ca,mg,p,fe,zn,cu,mn,i_d,se,cr,mo,retol,carta,cartb,crypxb,cartbeq,vita_rae,vitd,tocpha,tocphb,tocphg,tocphd,vitk,thiahcl,ribf,nia,vitb6a,vitb12,fol,pantac,biot,vitc,nacl_eq,alc,nitra,thebrn,caffn,tan,polyphent,aceac,food_id
29,279,30,9.4,8.4,1.3,-1.1,-0.29,-0.14,-0.63,57.5,63.9,1.2,1.5,2.7,1.8,620,110,16,22,72,0.9,0.8,0.14,0.39,Tr,29,1,20,0,0,0,0,0,0,0,0.1,0.1,0.1,Tr,0,0.08,0.05,1.1,0.04,0,33,0.45,1.9,0,1.6,-,-,-,-,-,-,-,29
30,264,35,8.4,6.6,2.2,-2,-0.9,-0.57,-0.44,52.7,-,2,3.6,5.6,1.7,470,190,16,40,130,1.4,1.3,0.18,0.87,-,-,-,-,0,0,0,0,0,0,Tr,0.3,0.1,0.2,0.1,0,0.16,0.06,1.3,0.09,0,34,0.46,-,0,1.2,-,-,-,-,-,-,-,30
31,269,35.7,8.2,-6.7,3.5,-3.3,-1.57,-0.97,-0.58,51.1,-,0.9,1.3,2.2,1.5,400,210,32,23,86,0.9,0.6,0.15,0.32,-,-,-,-,Tr,0,1,0,1,Tr,Tr,0.4,0.1,0.4,0.2,(Tr),0.11,0.05,1.2,0.07,(Tr),33,0.42,-,(Tr),1,-,-,-,-,-,-,-,31
32,316,30.7,10.1,8.4,9,8.5,4.02,2.86,1.26,48.6,49.7,1,1,2,1.6,490,110,44,22,97,0.7,0.8,0.12,0.29,-,-,-,-,0,0,15,0,15,1,0.1,0.5,0.1,0.7,0.2,(Tr),0.1,0.06,1.3,0.03,(Tr),38,0.61,-,0,1.2,-,-,-,-,-,-,-,32
33,448,20,7.9,-6.6,26.8,-25.4,-12.16,-8.94,-3.15,43.9,-,0.9,0.9,1.8,1.4,470,90,21,17,67,0.6,0.6,0.1,0.29,-,-,-,-,0,5,66,0,69,6,0.1,1.9,0.2,5.3,1.2,(Tr),0.08,0.03,1,0.03,(Tr),33,0.44,-,0,1.2,-,-,-,-,-,-,-,33
34,228,46,8.1,-6.7,3.6,-3.2,-1.21,-0.7,-1.19,40.8,-40.1,0.2,1,1.2,1.5,480,84,53,19,96,0.9,0.8,0.12,0.28,-,-,-,-,0,Tr,1,0,1,Tr,0,0.3,0.1,0.3,0.1,(Tr),0.15,0.08,1.2,0.05,0,23,0.32,-,0,1.2,-,-,-,-,-,-,-,34
35,262,37.2,10.3,-8.5,3.4,3.1,0.53,1.45,1,47.6,-45.6,0.8,1.2,2,1.5,530,97,11,22,77,0.8,0.7,0.11,0.3,-,-,-,-,0,0,0,0,0,0,0,0.6,0.1,0.7,0,0,0.13,0.06,1.3,0.05,0,36,0.55,-,0,1.3,-,-,-,-,-,-,-,35
36,275,32.3,9.6,8.1,2,1.9,0.71,0.48,0.63,54.6,50.3,1.2,1.3,2.5,1.4,460,97,24,24,81,1.3,0.7,0.11,0.45,-,-,-,-,-,-,-,-,-,-,-,0.2,0.1,Tr,0,-,0.19,0.08,2,0.06,-,47,0.28,-,-,1.2,-,-,-,-,-,-,-,36
37,270,33.5,6.1,5.1,0.6,-0.5,-0.14,-0.05,-0.31,56.8,55,0.5,0.7,1.2,3,1000,90,18,13,49,0.3,0.3,0.08,0.39,2,6,2,7,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.09,0.03,0.6,0.03,0,5,0.36,0.8,0,2.5,-,-,-,-,-,-,-,37
38,105,75,2.6,2.2,0.4,-0.3,-0.09,-0.04,-0.2,21.6,21.4,0.2,0.6,0.8,0.4,120,9,6,6,18,0.2,0.1,0.04,0.12,Tr,2,1,2,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.02,0.01,0.2,0.01,0,2,0.13,0.3,0,0.3,-,-,-,-,-,-,-,38
