id,name,nutritive_id
210,＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　,210
211,＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　,211
212,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　,212
213,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　,213
214,＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　,214
215,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　,215
216,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　,216
217,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　,217
218,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　,218
219,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　,219
220,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　,220
221,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　,221
222,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　,222
223,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　,223
224,（砂糖類）　黒砂糖　　　,224
225,（砂糖類）　和三盆糖　　　,225
226,（砂糖類）　車糖　上白糖　　,226
227,（砂糖類）　車糖　三温糖　　,227
228,（砂糖類）　ざらめ糖　グラニュー糖　　,228
229,（砂糖類）　ざらめ糖　白ざら糖　　,229
230,（砂糖類）　ざらめ糖　中ざら糖　　,230
231,（砂糖類）　加工糖　角砂糖　　,231
232,（砂糖類）　加工糖　氷砂糖　　,232
233,（砂糖類）　加工糖　コーヒーシュガー　　,233
234,（砂糖類）　加工糖　粉糖　　,234
235,（砂糖類）　液糖　しょ糖型液糖　　,235
236,（砂糖類）　液糖　転化型液糖　　,236
237,（砂糖類）　氷糖みつ　　　,237
238,（でん粉糖類）　粉あめ　　　,238
239,（でん粉糖類）　水あめ　酵素糖化　　,239
240,（でん粉糖類）　水あめ　酸糖化　　,240
241,（でん粉糖類）　ぶどう糖　全糖　　,241
242,（でん粉糖類）　ぶどう糖　含水結晶　　,242
243,（でん粉糖類）　ぶどう糖　無水結晶　　,243
244,（でん粉糖類）　果糖　　　,244
245,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　,245
246,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　,246
247,（でん粉糖類）　異性化液糖　高果糖液糖　　,247
248,（その他）　黒蜜　,248
249,（その他）　はちみつ　,249
250,（その他）　メープルシロップ　　　,250
251,あずき　全粒　乾　　　,251
252,あずき　全粒　ゆで　　　,252
253,あずき　ゆで小豆缶詰　　　,253
254,あずき　あん　こしあん　　,254
255,あずき　あん　さらしあん　　,255
256,あずき　あん　つぶしあん　　,256
257,いんげんまめ　全粒　乾　　　,257
258,いんげんまめ　全粒　ゆで　　　,258
259,いんげんまめ　うずら豆　,259
260,いんげんまめ　こしあん　　　,260
261,いんげんまめ　豆きんとん　　　,261
262,えんどう　全粒　青えんどう　乾　　,262
263,えんどう　全粒　赤えんどう　乾　　,263
264,えんどう　全粒　青えんどう　ゆで　　,264
265,えんどう　全粒　赤えんどう　ゆで　　,265
266,えんどう　グリンピース（揚げ豆）　　　,266
267,えんどう　塩豆　　　,267
268,えんどう　うぐいす豆　,268
269,ささげ　全粒　乾　　　,269
270,ささげ　全粒　ゆで　　　,270
271,そらまめ　全粒　乾　　　,271
272,そらまめ　フライビーンズ　　　,272
273,そらまめ　おたふく豆　,273
274,そらまめ　ふき豆　,274
275,そらまめ　しょうゆ豆　,275
276,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　,276
277,だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　,277
278,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　,278
279,だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　,279
280,だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　,280
281,だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　,281
282,だいず　［全粒・全粒製品］　いり大豆　黄大豆　,282
283,だいず　［全粒・全粒製品］　いり大豆　黒大豆　,283
284,だいず　［全粒・全粒製品］　いり大豆　青大豆　,284
285,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　,285
286,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　,286
287,だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　,287
288,だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　,288
289,だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　,289
290,だいず　［全粒・全粒製品］　大豆はいが　　,290
291,だいず　［全粒・全粒製品］　ぶどう豆　,291
292,だいず　［豆腐・油揚げ類］　木綿豆腐　,292
293,だいず　［豆腐・油揚げ類］　絹ごし豆腐　　,293
294,だいず　［豆腐・油揚げ類］　ソフト豆腐　　,294
295,だいず　［豆腐・油揚げ類］　充てん豆腐　　,295
296,だいず　［豆腐・油揚げ類］　沖縄豆腐　　,296
297,だいず　［豆腐・油揚げ類］　ゆし豆腐　　,297
298,だいず　［豆腐・油揚げ類］　焼き豆腐　　,298
299,だいず　［豆腐・油揚げ類］　生揚げ　　,299
300,だいず　［豆腐・油揚げ類］　油揚げ　生　,300
301,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生　,301
302,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き　,302
303,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで　,303
304,だいず　［豆腐・油揚げ類］　がんもどき　　,304
