id,name
192,＜いも類＞じゃがいも　塊茎　蒸し　　　
193,＜いも類＞じゃがいも　塊茎　水煮　　　
194,＜いも類＞じゃがいも　フライドポテト　　　
195,＜いも類＞じゃがいも　乾燥マッシュポテト　　　
196,＜いも類＞ヤーコン　塊根　生　　　
197,＜いも類＞ヤーコン　塊根　水煮　　　
198,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　
199,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　
200,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　
201,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　
202,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　
203,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　
204,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　
205,＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　
206,＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　
207,＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　
208,＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　
209,＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　
210,＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　
211,＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　
212,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　
213,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　
214,＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　
215,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　
216,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　
217,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　
218,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　
219,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　
220,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　
221,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　
222,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　
223,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　
224,（砂糖類）　黒砂糖　　　
225,（砂糖類）　和三盆糖　　　
226,（砂糖類）　車糖　上白糖　　
227,（砂糖類）　車糖　三温糖　　
228,（砂糖類）　ざらめ糖　グラニュー糖　　
229,（砂糖類）　ざらめ糖　白ざら糖　　
230,（砂糖類）　ざらめ糖　中ざら糖　　
231,（砂糖類）　加工糖　角砂糖　　
232,（砂糖類）　加工糖　氷砂糖　　
233,（砂糖類）　加工糖　コーヒーシュガー　　
234,（砂糖類）　加工糖　粉糖　　
235,（砂糖類）　液糖　しょ糖型液糖　　
236,（砂糖類）　液糖　転化型液糖　　
237,（砂糖類）　氷糖みつ　　　
238,（でん粉糖類）　粉あめ　　　
239,（でん粉糖類）　水あめ　酵素糖化　　
240,（でん粉糖類）　水あめ　酸糖化　　
241,（でん粉糖類）　ぶどう糖　全糖　　
242,（でん粉糖類）　ぶどう糖　含水結晶　　
243,（でん粉糖類）　ぶどう糖　無水結晶　　
244,（でん粉糖類）　果糖　　　
245,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　
246,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　
247,（でん粉糖類）　異性化液糖　高果糖液糖　　
248,（その他）　黒蜜　
249,（その他）　はちみつ　
250,（その他）　メープルシロップ　　　
251,あずき　全粒　乾　　　
252,あずき　全粒　ゆで　　　
253,あずき　ゆで小豆缶詰　　　
254,あずき　あん　こしあん　　
255,あずき　あん　さらしあん　　
256,あずき　あん　つぶしあん　　
257,いんげんまめ　全粒　乾　　　
258,いんげんまめ　全粒　ゆで　　　
259,いんげんまめ　うずら豆　
260,いんげんまめ　こしあん　　　
261,いんげんまめ　豆きんとん　　　
262,えんどう　全粒　青えんどう　乾　　
263,えんどう　全粒　赤えんどう　乾　　
264,えんどう　全粒　青えんどう　ゆで　　
265,えんどう　全粒　赤えんどう　ゆで　　
266,えんどう　グリンピース（揚げ豆）　　　
267,えんどう　塩豆　　　
268,えんどう　うぐいす豆　
269,ささげ　全粒　乾　　　
270,ささげ　全粒　ゆで　　　
271,そらまめ　全粒　乾　　　
272,そらまめ　フライビーンズ　　　
273,そらまめ　おたふく豆　
274,そらまめ　ふき豆　
275,そらまめ　しょうゆ豆　
276,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　
277,だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　
278,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　
279,だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　
280,だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　
281,だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　
282,だいず　［全粒・全粒製品］　いり大豆　黄大豆　
283,だいず　［全粒・全粒製品］　いり大豆　黒大豆　
284,だいず　［全粒・全粒製品］　いり大豆　青大豆　
285,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　
286,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　
287,だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　
288,だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　
289,だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　
290,だいず　［全粒・全粒製品］　大豆はいが　　
291,だいず　［全粒・全粒製品］　ぶどう豆　
292,だいず　［豆腐・油揚げ類］　木綿豆腐　
293,だいず　［豆腐・油揚げ類］　絹ごし豆腐　　
294,だいず　［豆腐・油揚げ類］　ソフト豆腐　　
295,だいず　［豆腐・油揚げ類］　充てん豆腐　　
296,だいず　［豆腐・油揚げ類］　沖縄豆腐　　
297,だいず　［豆腐・油揚げ類］　ゆし豆腐　　
298,だいず　［豆腐・油揚げ類］　焼き豆腐　　
299,だいず　［豆腐・油揚げ類］　生揚げ　　
300,だいず　［豆腐・油揚げ類］　油揚げ　生　
301,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生　
302,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き　
303,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで　
304,だいず　［豆腐・油揚げ類］　がんもどき　　
305,だいず　［豆腐・油揚げ類］　凍り豆腐　乾　
306,だいず　［豆腐・油揚げ類］　凍り豆腐　水煮　
307,だいず　［豆腐・油揚げ類］　豆腐よう　　
308,だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し　
309,だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き　
310,だいず　［豆腐・油揚げ類］　ろくじょう豆腐　　
311,だいず　［納豆類］　糸引き納豆　　
312,だいず　［納豆類］　挽きわり納豆　　
313,だいず　［納豆類］　五斗納豆　　
314,だいず　［納豆類］　寺納豆　　
315,だいず　［その他］　おから　生　
316,だいず　［その他］　おから　乾燥　
317,だいず　［その他］　豆乳　豆乳　
318,だいず　［その他］　豆乳　調製豆乳　
319,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー　
320,だいず　［その他］　大豆たんぱく　粒状大豆たんぱく　　
321,だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく　　
322,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ　
323,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ　
324,だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく　　
325,だいず　［その他］　湯葉　生　　
326,だいず　［その他］　湯葉　干し　乾　
327,だいず　［その他］　湯葉　干し　湯戻し　
328,だいず　［その他］　金山寺みそ　　　
329,だいず　［その他］　ひしおみそ　　　
330,だいず　［その他］　テンペ　　　
331,つるあずき　全粒　乾　　　
332,つるあずき　全粒　ゆで　　　
333,ひよこまめ　全粒　乾　　　
334,ひよこまめ　全粒　ゆで　　　
335,ひよこまめ　全粒　フライ　味付け　　　
336,べにばないんげん　全粒　乾　　　
337,べにばないんげん　全粒　ゆで　　　
338,らいまめ　全粒　乾　　　
339,らいまめ　全粒　ゆで　　　
